city,state,zip,latitude,longitude
"South Deerfield","Massachusetts","01373","42.47292","-72.61516"
"Sunderland","Massachusetts","01375","42.46475","-72.55489"
"Turners Falls","Massachusetts","01376","42.59273","-72.54591"
"Warwick","Massachusetts","01378","42.67711","-72.34057"
"Wendell","Massachusetts","01379","42.54149","-72.3989"
"Wendell Depot","Massachusetts","01380","42.58675","-72.40264"
"Fitchburg","Massachusetts","01420","42.58559","-71.81693"
"Ashburnham","Massachusetts","01430","42.66069","-71.9232"
"Ashby","Massachusetts","01431","42.67652","-71.82322"
"Ayer","Massachusetts","01432","42.56351","-71.57059"
"Devens","Massachusetts","01434","42.53149","-71.61663"
"Baldwinville","Massachusetts","01436","42.60579","-72.08958"
"East Templeton","Massachusetts","01438","42.56028","-72.03583"
"Gardner","Massachusetts","01440","42.58797","-71.98649"
"Groton","Massachusetts","01450","42.61368","-71.56139"
"Harvard","Massachusetts","01451","42.50005","-71.57754"
"Hubbardston","Massachusetts","01452","42.48378","-72.00514"
"Leominster","Massachusetts","01453","42.51961","-71.76583"
"Littleton","Massachusetts","01460","42.53503","-71.4891"
"Lunenburg","Massachusetts","01462","42.58994","-71.72036"
"Pepperell","Massachusetts","01463","42.67126","-71.60429"
"Shirley","Massachusetts","01464","42.57411","-71.6475"
"Templeton","Massachusetts","01468","42.55324","-72.06879"
"Townsend","Massachusetts","01469","42.66514","-71.69161"
"Westminster","Massachusetts","01473","42.55122","-71.90266"
"West Townsend","Massachusetts","01474","42.67088","-71.7508"
"Winchendon","Massachusetts","01475","42.66675","-72.04902"
"Auburn","Massachusetts","01501","42.19689","-71.84549"
"Berlin","Massachusetts","01503","42.38378","-71.63552"
"Blackstone","Massachusetts","01504","42.0399","-71.53125"
"Boylston","Massachusetts","01505","42.35633","-71.72123"
"Brookfield","Massachusetts","01506","42.19364","-72.10441"
"Charlton","Massachusetts","01507","42.13509","-71.96803"
"Clinton","Massachusetts","01510","42.4119","-71.68883"
"East Brookfield","Massachusetts","01515","42.20328","-72.04669"
"Douglas","Massachusetts","01516","42.0528","-71.75106"
"Fiskdale","Massachusetts","01518","42.11342","-72.11632"
"Grafton","Massachusetts","01519","42.20077","-71.67892"
"Holden","Massachusetts","01520","42.33685","-71.85181"
"Holland","Massachusetts","01521","42.06012","-72.16592"
"Jefferson","Massachusetts","01522","42.38142","-71.87111"
"Lancaster","Massachusetts","01523","42.48176","-71.68079"
"Leicester","Massachusetts","01524","42.24919","-71.91989"
"Linwood","Massachusetts","01525","42.09899","-71.64296"
"Millbury","Massachusetts","01527","42.19228","-71.77397"
"Millville","Massachusetts","01529","42.03906","-71.57767"
"New Braintree","Massachusetts","01531","42.31929","-72.12794"
"Northborough","Massachusetts","01532","42.32314","-71.64621"
"Northbridge","Massachusetts","01534","42.13991","-71.64433"
"North Brookfield","Massachusetts","01535","42.2695","-72.07794"
"North Grafton","Massachusetts","01536","42.23189","-71.69219"
"North Oxford","Massachusetts","01537","42.16177","-71.89217"
"Oxford","Massachusetts","01540","42.11649","-71.85819"
"Princeton","Massachusetts","01541","42.45649","-71.88128"
"Rochdale","Massachusetts","01542","42.20241","-71.90995"
"Rutland","Massachusetts","01543","42.38482","-71.96726"
"Shrewsbury","Massachusetts","01545","42.28419","-71.71558"
"Southbridge","Massachusetts","01550","42.06039","-72.03377"
"South Grafton","Massachusetts","01560","42.17496","-71.67762"
"South Lancaster","Massachusetts","01561","42.44581","-71.68845"
"Spencer","Massachusetts","01562","42.24715","-71.99189"
"Sterling","Massachusetts","01564","42.44124","-71.77297"
"Sturbridge","Massachusetts","01566","42.1047","-72.07745"
"Upton","Massachusetts","01568","42.17694","-71.60516"
"Uxbridge","Massachusetts","01569","42.05895","-71.63741"
"Webster","Massachusetts","01570","42.05206","-71.8485"
"Dudley","Massachusetts","01571","42.05501","-71.93519"
"Westborough","Massachusetts","01581","42.26815","-71.61402"
"West Boylston","Massachusetts","01583","42.37034","-71.78502"
"West Brookfield","Massachusetts","01585","42.23762","-72.16311"
"Whitinsville","Massachusetts","01588","42.11837","-71.66836"
"Sutton","Massachusetts","01590","42.13387","-71.75179"
"Worcester","Massachusetts","01602","42.27219","-71.84946"
"Worcester","Massachusetts","01603","42.24373","-71.84429"
"Worcester","Massachusetts","01604","42.25085","-71.7683"
"Worcester","Massachusetts","01605","42.28979","-71.78802"
"Worcester","Massachusetts","01606","42.31367","-71.79614"
"Worcester","Massachusetts","01607","42.22684","-71.79037"
"Worcester","Massachusetts","01608","42.2621","-71.80145"
"Worcester","Massachusetts","01609","42.28592","-71.82853"
"Worcester","Massachusetts","01610","42.24645","-71.80968"
"Cherry Valley","Massachusetts","01611","42.23945","-71.87702"
"Paxton","Massachusetts","01612","42.31037","-71.93095"
"Framingham","Massachusetts","01701","42.32195","-71.43796"
"Framingham","Massachusetts","01702","42.28242","-71.43428"
"Acton","Massachusetts","01718","42.52165","-71.42983"
"Boxborough","Massachusetts","01719","42.48837","-71.51779"
"Acton","Massachusetts","01720","42.48397","-71.43809"
"Ashland","Massachusetts","01721","42.25726","-71.46867"
"Bedford","Massachusetts","01730","42.4995","-71.27799"
"Hanscom Afb","Massachusetts","01731","42.46422","-71.28202"
"Bolton","Massachusetts","01740","42.43616","-71.60728"
"Carlisle","Massachusetts","01741","42.53001","-71.35128"
"Concord","Massachusetts","01742","42.46221","-71.36504"
"Fayville","Massachusetts","01745","42.29155","-71.50101"
"Holliston","Massachusetts","01746","42.19775","-71.44499"
"Hopedale","Massachusetts","01747","42.12477","-71.535"
"Hopkinton","Massachusetts","01748","42.2255","-71.53781"
"Hudson","Massachusetts","01749","42.38868","-71.54648"
"Marlborough","Massachusetts","01752","42.3494","-71.54681"
"Maynard","Massachusetts","01754","42.4264","-71.45607"
"Mendon","Massachusetts","01756","42.09301","-71.55146"
"Milford","Massachusetts","01757","42.15723","-71.51978"
"Natick","Massachusetts","01760","42.28436","-71.34966"
"Sherborn","Massachusetts","01770","42.23416","-71.37532"
"Southborough","Massachusetts","01772","42.30144","-71.5304"
"Lincoln","Massachusetts","01773","42.42572","-71.31013"
"Stow","Massachusetts","01775","42.42983","-71.51146"
"Sudbury","Massachusetts","01776","42.38456","-71.42316"
